Label,Count,Categories,ExampleProducts
"Heatsink",2,"PC Memory","CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I)"
"Heatsink Material",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"INPUT POWER",1,"Fans","XIGMATEK Aero DGT 360 Digital LCD 3 Fan ARGB and PWM Infinity Ring Four Side 360mm Standard Fan Blade-EN90212"
"Interface",4,"External SSD; Internal SSD; Nvidia GeForce","ACER Predator GP30 2TB USB 3.2 Gen2x2 Portable SSD – Up to 2000MB/s with RGB Lighting.; MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC; REDRAGON RM112 Dragon Knight 128GB 500MB/s 2.5-inch SATA SSD"
"Internal 2.5"" Drive Bays",2,"Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"Internal 3.5"" Drive Bays",2,"Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"L1 Cache",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"L2 Cache",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"Launch Date",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"LED",1,"Mid Tower","Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze"
"M.2 Slots",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Max CPU Cooler Height",3,"AIR Cooler; Mid Tower; Mini Tower","ANTEC FLUX M 6FAN ARGB MINI TOWER; Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze; ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
